선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,생일,시즌
김인태22두RF,69,248,206,24,54,6,0,5,75,25,1,0,39,3,1,41,3,0,0,0.262,0.387,0.364,0.751,0.358,125.4,1.48,1994-07-03,2022
김용희84롯3B,81,334,311,28,76,13,2,9,120,53,2,1,17,2,1,38,7,0,4,0.244,0.284,0.386,0.67,0.309,92.2,1.48,1955-10-04,1984
김민재99롯SS,130,447,389,54,106,20,1,6,146,53,18,6,25,10,0,46,9,17,6,0.272,0.328,0.375,0.703,0.306,74.3,1.48,1973-01-03,1999
강정길88빙1B,98,342,299,43,85,16,1,4,115,32,7,3,26,10,1,26,11,5,2,0.284,0.359,0.385,0.744,0.345,112,1.48,1962-07-25,1988
송구홍97L3B,70,258,220,38,58,14,0,5,87,25,7,3,14,13,1,29,6,6,5,0.264,0.337,0.395,0.733,0.326,102,1.48,1968-06-23,1997
박동원15넥C,127,443,379,47,101,12,1,14,157,61,0,0,37,9,0,93,4,10,8,0.266,0.34,0.414,0.754,0.332,86.6,1.48,1990-04-07,2015
하주석17한SS,111,470,432,69,123,18,8,11,190,52,7,6,23,5,0,83,6,9,1,0.285,0.328,0.44,0.767,0.333,89.3,1.48,1994-02-25,2017
이도형06한DH,119,466,426,46,109,22,0,19,188,63,0,2,26,6,0,68,7,5,3,0.256,0.306,0.441,0.747,0.34,114.1,1.48,1975-05-24,2006
김종모82해LF,77,286,258,28,75,12,0,10,117,43,7,2,17,3,2,27,7,1,7,0.291,0.333,0.453,0.787,0.349,111.6,1.48,1959-11-01,1982
박병호21키1B,118,477,409,48,93,23,0,20,176,76,0,1,47,14,3,141,9,0,7,0.227,0.323,0.43,0.753,0.343,106.4,1.47,1986-07-10,2021
조쉬벨14L3B,63,275,240,33,64,8,1,10,104,39,3,0,30,1,1,56,10,0,4,0.267,0.346,0.433,0.779,0.347,101.6,1.47,1986-11-13,2014
박건우15두RF,70,175,158,31,54,12,0,5,81,26,2,1,12,3,0,29,2,2,0,0.342,0.399,0.513,0.912,0.403,143.3,1.47,1990-09-08,2015
유동효89태3B,109,240,195,31,46,10,1,3,67,17,3,0,33,4,0,49,4,6,2,0.236,0.355,0.344,0.698,0.333,103.4,1.47,1965-04-16,1989
김인철05한RF,103,288,262,46,72,16,0,10,118,39,8,3,20,2,0,59,9,3,1,0.275,0.33,0.45,0.78,0.35,111.2,1.47,1971-07-14,2005
박민우22N2B,89,389,335,48,85,19,0,3,113,35,18,3,37,9,4,50,5,6,2,0.254,0.342,0.337,0.679,0.315,93.5,1.47,1993-02-06,2022
이강돈94한LF,108,352,309,33,86,15,0,4,113,46,8,5,35,0,3,51,10,4,4,0.278,0.348,0.366,0.713,0.328,106.6,1.47,1961-02-27,1994
마해영04KDH,124,519,437,54,123,16,0,11,172,71,4,3,56,14,4,68,19,1,11,0.281,0.373,0.394,0.766,0.354,110,1.47,1970-08-14,2004
홍현우03L3B,97,333,286,34,68,12,3,9,113,27,1,1,37,4,0,61,9,5,1,0.238,0.332,0.395,0.727,0.327,92.5,1.47,1972-09-28,2003
정수빈21두CF,104,351,313,50,81,19,4,3,117,37,12,7,29,3,1,50,7,4,2,0.259,0.326,0.374,0.7,0.325,91.6,1.47,1990-10-07,2021
장종훈01한1B,120,421,366,55,100,16,0,15,161,54,11,4,45,4,4,87,7,2,4,0.273,0.356,0.44,0.796,0.356,104.3,1.47,1968-04-10,2001
최계영89롯CF,105,376,316,45,76,9,2,1,92,21,15,8,47,2,0,31,7,10,1,0.241,0.342,0.291,0.633,0.307,85.9,1.47,1963-09-03,1989
김준환84해CF,91,336,307,29,82,10,0,6,110,29,5,5,20,3,1,47,9,2,4,0.267,0.314,0.358,0.673,0.313,95.3,1.47,1955-05-19,1984
심우준22KSS,116,388,336,57,83,7,2,4,106,32,18,2,35,2,0,62,8,10,4,0.247,0.318,0.315,0.634,0.293,76.2,1.46,1995-04-28,2022
이원석17삼3B,121,459,411,55,109,20,1,18,185,62,2,0,34,4,2,80,4,4,6,0.265,0.323,0.45,0.773,0.333,89.2,1.46,1986-10-21,2017
이용규05KRF,124,479,414,57,110,17,2,5,146,37,31,10,39,9,0,64,6,14,3,0.266,0.34,0.353,0.692,0.317,89,1.46,1985-08-26,2005
임재철01롯CF,114,270,216,37,58,14,1,3,83,26,10,2,27,12,0,41,4,10,5,0.269,0.373,0.384,0.757,0.342,95.2,1.46,1976-04-08,2001
알칸트라03LDH,79,325,292,38,82,12,2,16,146,44,0,1,29,1,3,64,8,0,3,0.281,0.345,0.5,0.845,0.369,122.4,1.46,1971-05-06,2003
이형종17LLF,128,434,377,57,100,18,0,9,145,44,11,6,40,11,0,73,7,4,2,0.265,0.351,0.385,0.736,0.334,94.2,1.46,1989-06-07,2017
신종길15KRF,99,348,313,56,82,13,4,5,118,28,19,5,25,6,0,80,3,4,0,0.262,0.329,0.377,0.706,0.32,78.4,1.46,1983-12-31,2015
김만후91쌍3B,99,295,264,33,69,14,0,3,92,30,7,1,21,6,0,28,10,2,2,0.261,0.328,0.348,0.676,0.319,93.3,1.46,1964-03-26,1991
이명수99현2B,114,400,333,39,99,13,1,5,129,51,3,2,40,1,1,40,9,22,4,0.297,0.37,0.387,0.758,0.326,87.7,1.46,1966-07-29,1999
한영준92롯LF,105,279,217,37,59,12,1,3,82,29,8,5,48,2,2,22,5,11,1,0.272,0.407,0.378,0.785,0.357,113.2,1.46,1962-11-14,1992
김동엽17SLF,125,428,393,58,109,18,1,22,195,70,2,4,23,9,1,62,6,0,3,0.277,0.329,0.496,0.826,0.356,103.6,1.45,1990-07-24,2017
박세혁22두C,115,375,328,33,83,13,1,3,107,39,2,2,29,6,0,63,4,8,4,0.253,0.322,0.326,0.648,0.3,84.7,1.45,1990-01-09,2022
이종두91삼LF,21,89,76,20,26,6,0,5,47,19,9,2,10,2,0,15,1,0,1,0.342,0.427,0.618,1.045,0.466,191.5,1.45,1962-04-05,1991
조영훈13N1B,120,426,380,38,107,26,3,6,157,39,4,5,39,2,1,56,6,3,2,0.282,0.35,0.413,0.763,0.354,107.9,1.45,1982-11-12,2013
강민호14롯C,98,360,310,37,71,14,2,16,137,40,1,2,33,13,3,92,6,0,4,0.229,0.325,0.442,0.767,0.336,82.7,1.45,1985-08-18,2014
김종모88해RF,105,393,353,36,106,8,2,4,130,35,1,1,29,0,2,17,12,7,4,0.3,0.35,0.368,0.718,0.33,102.2,1.45,1959-11-01,1988
이종범08KRF,110,362,317,38,90,19,4,1,120,38,9,3,32,1,0,26,11,9,3,0.284,0.348,0.379,0.727,0.335,99.9,1.45,1970-08-15,2008
김수연01한LF,129,446,392,65,114,10,3,0,130,20,42,16,47,2,1,67,3,4,1,0.291,0.369,0.332,0.7,0.334,90,1.45,1977-05-28,2001
이종욱09두CF,82,344,312,48,86,11,4,1,108,28,37,6,28,0,0,38,5,3,1,0.276,0.334,0.346,0.681,0.315,75.8,1.44,1980-06-18,2009
한문연85롯C,97,313,270,27,72,12,0,3,93,29,2,2,23,2,1,19,11,13,5,0.267,0.323,0.344,0.668,0.301,82.3,1.44,1961-04-10,1985
김성한92해1B,117,458,410,62,107,18,0,15,170,59,6,2,37,7,1,59,9,2,2,0.261,0.331,0.415,0.746,0.34,101.7,1.44,1958-05-18,1992
이택근05현1B,71,169,139,20,46,9,0,2,61,14,2,1,19,8,0,22,1,3,0,0.331,0.44,0.439,0.879,0.406,149.3,1.44,1980-07-10,2005
김상국87빙C,85,300,274,24,70,9,2,3,92,26,3,3,18,2,0,22,5,3,3,0.255,0.303,0.336,0.639,0.302,82.3,1.44,1963-04-05,1987
김태완11L2B,76,246,202,26,51,12,0,6,81,29,4,1,31,2,0,37,7,10,1,0.252,0.356,0.401,0.757,0.342,104.6,1.44,1981-09-19,2011
김영직94LLF,89,198,181,16,53,10,2,4,79,40,2,1,14,2,1,13,4,0,1,0.293,0.349,0.436,0.785,0.36,129.8,1.44,1960-09-26,1994
김종훈98삼LF,101,314,274,49,76,11,3,4,105,26,10,1,23,5,0,48,5,9,3,0.277,0.341,0.383,0.724,0.32,98.9,1.43,1972-01-29,1998
신경식88O1B,107,408,378,41,109,12,3,4,139,38,12,2,25,1,1,18,3,2,2,0.288,0.333,0.368,0.7,0.326,99.5,1.43,1961-01-19,1988
이대수08두SS,90,237,213,22,60,9,3,2,81,23,2,4,16,5,0,28,7,2,1,0.282,0.345,0.38,0.725,0.34,103.5,1.43,1981-08-21,2008
박정권12S1B,122,472,416,61,106,18,1,12,162,59,4,6,43,4,2,80,7,6,3,0.255,0.328,0.389,0.718,0.332,105.8,1.43,1981-07-21,2012
오재원16두2B,122,484,416,68,113,18,1,5,148,58,13,10,54,5,1,82,10,3,6,0.272,0.358,0.356,0.713,0.334,84.5,1.43,1985-02-09,2016
송광민13한SS,67,268,245,33,64,13,0,7,98,33,1,1,18,4,0,62,8,1,0,0.261,0.322,0.4,0.722,0.336,96.2,1.43,1983-06-24,2013
문희성05두DH,114,369,322,45,88,15,0,10,133,50,12,3,29,13,1,54,8,1,4,0.273,0.353,0.413,0.766,0.352,113.3,1.43,1973-02-22,2005
채태인10삼1B,102,396,356,48,104,13,0,14,159,54,0,3,33,2,3,94,6,2,3,0.292,0.353,0.447,0.799,0.359,111.1,1.43,1982-10-11,2010
박경수09L2B,106,344,269,45,64,12,0,8,100,31,6,4,54,7,0,55,5,12,2,0.238,0.377,0.372,0.748,0.34,92.8,1.43,1984-03-31,2009
이호준99해RF,107,342,312,48,86,16,1,16,152,55,5,2,24,3,1,46,13,3,0,0.276,0.333,0.487,0.821,0.351,104.2,1.42,1976-02-08,1999
박노준91ODH,120,470,430,60,126,17,4,5,166,39,19,12,28,6,2,40,2,6,0,0.293,0.345,0.386,0.731,0.338,106.3,1.42,1962-10-26,1991
양석환22두1B,87,363,329,44,80,12,1,16,142,43,1,0,28,5,3,84,2,0,1,0.243,0.311,0.432,0.743,0.335,113.9,1.42,1991-07-15,2022
박종훈87OLF,80,294,264,33,75,10,1,6,105,34,5,3,22,0,0,15,4,5,3,0.284,0.336,0.398,0.733,0.341,109.4,1.42,1959-06-12,1987
신동주02KDH,81,273,244,34,76,9,1,7,108,33,6,2,24,3,2,59,8,0,2,0.311,0.377,0.443,0.82,0.365,125.5,1.42,1972-12-14,2002
김종석94ODH,104,411,369,47,104,24,2,5,147,64,6,3,30,4,4,33,11,0,8,0.282,0.336,0.398,0.734,0.335,111.9,1.42,1971-02-28,1994
김근석84삼1B,86,310,281,29,84,13,0,5,112,30,3,2,17,4,0,20,4,8,0,0.299,0.348,0.399,0.746,0.342,115.9,1.42,1962-06-18,1984
가르시아11한RF,72,292,268,37,66,12,0,18,132,61,1,5,24,0,1,55,5,0,0,0.246,0.308,0.493,0.801,0.36,116.7,1.42,1975-10-29,2011
박용성82롯RF,52,198,171,24,49,6,1,11,90,38,0,2,17,4,1,28,7,2,4,0.287,0.357,0.526,0.884,0.384,133.9,1.42,1958-09-30,1982
이순철96해CF,111,409,351,49,77,13,2,5,109,41,26,7,41,3,2,81,12,11,3,0.219,0.304,0.311,0.615,0.282,76,1.42,1961-04-18,1996
아두치16롯CF,64,272,247,46,72,18,3,7,117,41,15,2,18,1,1,59,5,1,5,0.292,0.336,0.474,0.81,0.354,97.1,1.41,1985-05-15,2016
강병식10넥DH,107,300,251,32,72,9,1,9,110,30,2,2,34,11,2,51,5,1,3,0.287,0.391,0.438,0.83,0.379,125.3,1.41,1977-04-23,2010
서효인89MC,57,145,118,9,30,4,1,3,45,17,2,1,21,3,0,22,4,3,0,0.254,0.38,0.381,0.762,0.363,124.2,1.41,1962-02-06,1989
김동수01삼C,89,217,181,18,50,11,0,5,76,30,0,0,22,4,0,23,5,6,4,0.276,0.36,0.42,0.78,0.347,98.7,1.41,1968-10-27,2001
김재성22삼DH,62,184,160,16,54,10,0,3,73,25,0,0,18,2,0,40,4,1,3,0.338,0.404,0.456,0.861,0.394,145.9,1.41,1996-10-30,2022
장성호11한1B,116,478,390,53,95,13,0,8,132,37,0,6,81,4,2,66,9,3,0,0.244,0.379,0.338,0.717,0.347,108.1,1.41,1977-10-18,2011
박기남13K3B,91,214,174,35,50,11,0,4,73,21,2,0,25,2,0,28,4,11,2,0.287,0.379,0.42,0.799,0.356,109.9,1.41,1981-08-14,2013
김원섭06KLF,94,213,181,26,61,5,3,0,72,13,12,2,14,0,0,27,2,17,1,0.337,0.383,0.398,0.78,0.338,113.2,1.41,1978-12-18,2006
조동찬17삼2B,122,393,353,35,102,23,0,10,155,46,3,0,22,10,0,72,8,4,4,0.289,0.345,0.439,0.784,0.345,98.2,1.41,1983-07-27,2017
스크럭스18N1B,142,571,501,75,129,35,0,26,242,97,3,2,55,12,2,144,14,0,3,0.257,0.343,0.483,0.826,0.355,103.4,1.41,1987-09-23,2018
류중일97삼SS,79,248,215,34,52,13,0,8,89,34,1,3,23,2,0,43,4,8,0,0.242,0.321,0.414,0.735,0.324,100,1.41,1963-04-28,1997
김수연03한CF,128,355,312,50,79,11,5,0,100,14,26,5,34,2,0,57,1,6,1,0.253,0.33,0.321,0.65,0.301,74.8,1.41,1977-05-28,2003
신경현10한C,119,292,253,29,63,13,0,10,106,40,6,5,27,0,1,54,10,9,3,0.249,0.318,0.419,0.737,0.322,86.6,1.41,1975-11-28,2010
박재상08SLF,94,363,314,46,86,18,1,1,109,34,21,9,36,5,0,50,3,7,1,0.274,0.357,0.347,0.704,0.333,98.5,1.41,1982-07-20,2008
김응국99롯DH,125,555,481,98,141,27,7,8,206,60,12,13,62,1,2,81,6,7,4,0.293,0.372,0.428,0.801,0.354,105.8,1.41,1966-01-14,1999
박진만02현SS,126,466,401,47,88,24,0,12,148,57,2,5,47,5,2,85,6,9,4,0.219,0.306,0.369,0.675,0.297,78,1.41,1976-11-30,2002
박진만13SSS,100,326,276,25,69,14,1,3,94,24,3,4,37,5,0,47,6,5,3,0.25,0.346,0.341,0.686,0.326,89.1,1.4,1976-11-30,2013
강승호22두2B,114,399,360,42,91,22,1,6,133,51,12,4,25,3,0,77,4,6,5,0.253,0.303,0.369,0.672,0.305,90.1,1.4,1994-02-09,2022
김석일85롯C,54,133,109,18,28,6,1,3,45,15,2,1,19,2,1,21,0,2,1,0.257,0.374,0.413,0.787,0.361,126.2,1.4,1959-11-26,1985
김한근82삼3B,64,227,193,33,51,13,1,5,81,28,4,3,24,2,0,26,1,6,3,0.264,0.347,0.42,0.767,0.342,107.4,1.4,1955-03-05,1982
김경언02KRF,107,323,274,45,72,16,1,1,93,33,11,4,45,2,0,66,1,1,1,0.263,0.37,0.339,0.709,0.331,101.5,1.4,1982-12-07,2002
서동욱13L넥2B,104,265,218,27,57,12,1,6,89,21,4,2,30,3,0,52,4,12,2,0.261,0.356,0.408,0.764,0.342,100.2,1.4,1984-03-21,2013
이영우08한LF,89,305,271,41,78,21,2,2,109,27,2,1,26,1,0,40,9,2,5,0.288,0.347,0.402,0.749,0.347,108,1.4,1973-11-27,2008
박재용95해DH,83,251,211,18,60,11,3,3,86,29,1,0,30,3,0,40,4,3,4,0.284,0.375,0.408,0.783,0.356,129.8,1.4,1969-06-16,1995
양준혁08삼DH,114,443,385,49,107,16,2,8,151,49,1,1,46,7,4,37,10,2,2,0.278,0.364,0.392,0.756,0.352,111.9,1.4,1969-05-26,2008
김성현89삼C,48,92,80,13,25,4,5,2,45,21,7,3,7,2,0,22,1,3,0,0.313,0.382,0.563,0.945,0.42,161.5,1.39,1963-08-21,1989
손주인13L2B,125,423,351,42,93,17,3,3,125,41,9,6,40,6,0,63,8,20,6,0.265,0.345,0.356,0.701,0.318,83.7,1.39,1983-12-01,2013
홍세완07KSS,59,230,199,22,52,7,0,7,80,27,0,2,20,4,0,22,8,5,2,0.261,0.338,0.402,0.74,0.338,105.6,1.39,1978-01-16,2007
정의윤17SDH,112,381,349,44,112,16,0,15,173,45,0,1,19,9,0,61,11,0,4,0.321,0.368,0.496,0.863,0.379,119.7,1.39,1986-07-25,2017
김용운87롯C,94,312,273,27,76,10,0,1,89,33,2,1,19,2,0,23,11,16,2,0.278,0.328,0.326,0.654,0.3,80,1.39,1955-06-05,1987
김한수06삼1B,103,396,343,41,87,15,0,7,123,54,6,3,32,15,0,54,12,2,4,0.254,0.34,0.359,0.699,0.331,107.9,1.39,1971-10-30,2006
김응국02롯LF,116,412,373,35,106,15,3,3,136,49,12,5,34,2,2,58,8,2,1,0.284,0.346,0.365,0.711,0.322,95.4,1.39,1966-01-14,2002
김재호08두SS,112,292,261,48,65,8,5,1,86,21,12,3,25,2,0,33,7,3,1,0.249,0.318,0.33,0.648,0.307,80.6,1.38,1985-03-21,2008
정경훈95한SS,89,255,222,33,47,7,2,2,64,16,37,4,24,1,0,31,0,7,1,0.212,0.29,0.288,0.579,0.267,67.9,1.38,1972-05-22,1995
임형석91O3B,109,383,343,39,82,16,3,6,122,37,1,4,34,3,1,81,9,2,1,0.239,0.312,0.356,0.668,0.312,88.2,1.38,1968-01-29,1991
박용택18LDH,134,583,524,89,159,38,1,15,244,76,3,3,47,5,0,107,21,0,7,0.303,0.362,0.466,0.828,0.362,112.7,1.38,1979-04-21,2018
김상수10삼SS,101,338,282,37,69,7,3,0,82,22,30,6,31,12,0,45,10,12,1,0.245,0.344,0.291,0.634,0.3,72.3,1.38,1990-03-23,2010
강경학18한2B,77,289,245,42,68,11,1,5,96,27,6,3,38,4,0,59,7,1,1,0.278,0.382,0.392,0.774,0.353,101.4,1.38,1992-08-11,2018
서정환84해2B,94,364,324,38,81,11,0,5,107,27,9,7,30,3,1,47,5,5,2,0.25,0.318,0.33,0.648,0.303,88.3,1.38,1955-02-25,1984
유승안82MC,57,166,142,23,36,5,0,9,68,29,2,4,21,0,3,29,2,0,3,0.254,0.343,0.479,0.822,0.359,118.2,1.38,1956-06-01,1982
김종수86빙SS,74,228,190,18,50,5,0,0,55,12,2,2,29,2,0,26,2,6,1,0.263,0.365,0.289,0.654,0.316,101,1.38,1957-03-15,1986
정수빈13두CF,125,260,228,57,63,2,8,2,87,29,23,8,16,6,0,29,1,8,2,0.276,0.337,0.382,0.719,0.328,90.2,1.38,1990-10-07,2013
이명기21NLF,56,232,191,30,56,12,0,2,74,14,5,3,37,1,0,27,2,3,0,0.293,0.411,0.387,0.798,0.381,126.6,1.38,1987-12-26,2021
최준석07두DH,121,451,386,48,94,20,2,16,166,75,1,0,51,2,1,95,10,5,7,0.244,0.33,0.43,0.76,0.344,110,1.38,1983-02-15,2007
김인호99현2B,113,356,293,53,75,14,0,7,110,43,13,4,35,12,0,44,7,15,1,0.256,0.358,0.375,0.733,0.323,85.6,1.38,1967-01-26,1999
박종호98L현2B,103,272,218,38,50,8,2,2,68,18,8,2,40,5,0,41,3,7,2,0.229,0.359,0.312,0.67,0.311,91.8,1.38,1973-07-27,1998
이대형09LCF,133,597,521,92,146,10,2,2,166,41,64,18,50,0,1,77,8,22,4,0.28,0.341,0.319,0.66,0.301,66.3,1.37,1983-07-19,2009
김만후92쌍3B,101,303,270,31,69,9,3,5,99,29,5,2,30,2,1,27,15,1,0,0.256,0.334,0.367,0.701,0.326,92.7,1.37,1964-03-26,1992
김무종86해C,101,362,317,19,71,6,2,8,105,44,0,3,25,3,2,42,5,12,5,0.224,0.283,0.331,0.614,0.281,75.5,1.37,1954-04-07,1986
김재박91LSS,82,292,247,34,65,13,2,0,82,18,15,7,28,2,1,23,7,15,0,0.263,0.343,0.332,0.675,0.306,84.1,1.37,1954-05-23,1991
김동수04현C,113,381,311,38,78,13,1,2,99,31,2,2,32,13,0,42,10,21,4,0.251,0.342,0.318,0.66,0.3,73.5,1.37,1968-10-27,2004
김용국85삼3B,99,352,306,46,73,14,1,7,110,37,3,4,34,2,1,42,10,8,2,0.239,0.317,0.359,0.676,0.311,89.9,1.37,1962-06-21,1985
이연수92쌍CF,85,325,276,29,71,9,0,6,98,35,6,6,34,8,0,40,10,4,3,0.257,0.352,0.355,0.707,0.331,95.9,1.37,1963-03-03,1992
이호준14NDH,122,500,424,59,115,20,0,23,204,78,3,5,67,3,0,104,15,1,5,0.271,0.371,0.481,0.852,0.377,111.6,1.37,1976-02-08,2014
정성훈16L1B,126,418,370,58,119,22,1,6,161,64,8,4,33,5,1,59,9,5,5,0.322,0.38,0.435,0.815,0.369,107.7,1.37,1980-06-27,2016
박노준96쌍DH,52,153,139,15,48,7,1,4,69,20,1,0,9,2,1,17,2,3,0,0.345,0.393,0.496,0.89,0.399,157.4,1.37,1962-10-26,1996
최항18S2B,98,257,222,38,65,12,1,7,100,35,2,2,25,8,0,57,1,2,0,0.293,0.384,0.45,0.835,0.37,113,1.37,1994-01-03,2018
살라디노20삼LF,44,163,132,26,37,8,0,6,63,27,6,1,23,7,0,41,3,0,1,0.28,0.411,0.477,0.888,0.405,137.2,1.37,1989-07-20,2020
양석환18L3B,140,519,483,53,127,27,0,22,220,82,2,2,24,6,0,81,9,1,5,0.263,0.303,0.455,0.759,0.324,89.6,1.37,1991-07-15,2018
이창원91쌍LF,68,200,174,32,43,10,2,9,84,31,5,3,10,12,0,31,2,1,3,0.247,0.327,0.483,0.809,0.364,123.1,1.36,1963-02-22,1991
이숭용09히1B,114,422,362,47,107,20,3,4,145,52,8,3,48,2,1,44,7,4,6,0.296,0.376,0.401,0.776,0.353,102.1,1.36,1971-03-10,2009
백상원16삼2B,132,517,445,60,128,19,3,3,162,49,8,3,51,4,0,69,15,10,7,0.288,0.361,0.364,0.725,0.335,83.9,1.36,1988-01-02,2016
손인호98롯LF,79,259,223,30,62,10,3,4,90,23,2,1,25,3,0,60,0,5,2,0.278,0.356,0.404,0.759,0.337,110.2,1.36,1975-04-03,1998
홍승규87삼DH,100,357,322,56,89,13,3,7,129,26,13,10,28,3,0,40,2,3,0,0.276,0.34,0.401,0.741,0.348,114,1.36,1960-06-20,1987
김용철91삼DH,108,307,268,32,67,8,0,15,120,46,2,0,32,5,1,37,13,0,2,0.25,0.339,0.448,0.787,0.36,120.8,1.36,1957-09-21,1991
김기태02S1B,101,337,284,32,73,15,1,9,117,46,2,1,47,0,0,57,6,3,3,0.257,0.359,0.412,0.771,0.344,110.9,1.35,1969-05-23,2002
이명기18KRF,120,502,447,88,135,28,6,4,187,42,12,5,40,3,3,64,5,11,1,0.302,0.363,0.418,0.781,0.34,95,1.35,1987-12-26,2018
김영직90L1B,96,245,202,30,54,5,2,6,81,40,5,3,34,2,1,34,4,3,4,0.267,0.372,0.401,0.773,0.361,120.6,1.35,1960-09-26,1990
이강돈95한LF,105,326,290,29,72,20,2,4,108,40,4,0,29,2,1,47,5,3,2,0.248,0.319,0.372,0.691,0.315,101.7,1.35,1961-02-27,1995
안경현98O3B,116,408,362,32,90,23,0,6,131,38,4,1,29,5,1,45,6,8,4,0.249,0.31,0.362,0.672,0.299,83.1,1.35,1970-02-13,1998
윌슨19롯3B,68,268,231,21,58,15,0,9,100,37,0,2,31,5,0,60,8,0,1,0.251,0.351,0.433,0.784,0.361,118.3,1.35,1990-07-29,2019
김민재94롯SS,98,283,248,27,61,9,3,3,85,30,7,4,20,5,0,35,7,6,4,0.246,0.311,0.343,0.653,0.3,87,1.35,1973-01-03,1994
김용달84M3B,57,110,94,9,28,5,4,1,44,14,1,0,15,0,0,14,5,0,0,0.298,0.395,0.468,0.863,0.395,157.6,1.34,1956-05-10,1984
전대영87빙1B,67,205,189,25,57,8,2,5,84,29,4,0,11,2,0,19,9,2,1,0.302,0.345,0.444,0.789,0.367,126.6,1.34,1962-02-10,1987
고동진07한RF,124,473,394,68,98,8,5,1,119,37,10,4,50,16,2,67,6,11,2,0.249,0.355,0.302,0.657,0.313,88.6,1.34,1980-04-01,2007
김강민09SCF,104,382,341,48,91,18,3,12,151,42,10,7,24,5,1,67,7,11,1,0.267,0.324,0.443,0.766,0.33,86.4,1.34,1982-09-13,2009
김우열85OCF,56,177,153,28,37,4,0,7,62,22,7,3,23,0,1,23,0,1,0,0.242,0.341,0.405,0.746,0.346,114.5,1.34,1949-09-09,1985
진갑용13삼C,101,204,181,22,49,9,0,6,76,36,0,0,12,5,0,28,5,4,2,0.271,0.33,0.42,0.75,0.341,99.3,1.34,1974-05-08,2013
김태완13삼2B,83,189,162,19,44,10,0,6,72,19,1,1,22,2,1,31,5,0,3,0.272,0.36,0.444,0.804,0.369,118.8,1.34,1981-09-19,2013
오재원12두2B,77,213,188,29,53,7,3,0,66,17,14,2,17,0,1,43,4,6,2,0.282,0.338,0.351,0.689,0.317,94.8,1.34,1985-02-09,2012
김건우92L,54,214,196,28,54,8,1,8,88,30,2,0,16,0,0,31,5,0,2,0.276,0.327,0.449,0.776,0.35,108.8,1.33,1963-08-30,1992
최주환12두2B,81,238,210,29,57,11,2,2,78,22,4,3,18,3,0,23,2,6,1,0.271,0.336,0.371,0.708,0.327,102.3,1.33,1988-02-28,2012
김민재96롯SS,115,350,302,33,73,11,3,4,102,31,6,6,27,4,2,41,3,14,3,0.242,0.31,0.338,0.647,0.29,81,1.33,1973-01-03,1996
박경수11LSS,111,386,317,36,72,11,1,4,97,26,10,8,48,7,0,66,7,10,4,0.227,0.338,0.306,0.644,0.307,80.5,1.33,1984-03-31,2011
김광수86O2B,78,341,274,39,68,7,3,0,81,25,10,10,37,7,0,21,4,20,2,0.248,0.35,0.296,0.646,0.298,88.1,1.33,1959-01-03,1986
이광길86빙3B,93,314,240,26,53,11,2,1,71,20,9,14,52,4,0,37,4,16,2,0.221,0.366,0.296,0.662,0.312,98.4,1.33,1960-08-04,1986
송영운85MCF,79,230,198,16,55,6,1,0,63,19,4,3,28,1,0,21,2,1,2,0.278,0.367,0.318,0.685,0.331,104,1.33,1952-12-15,1985
김형석96O1B,120,475,434,46,106,16,4,14,172,48,2,0,37,0,6,77,14,3,1,0.244,0.303,0.396,0.699,0.315,98.7,1.33,1962-08-18,1996
한대화95L3B,98,324,295,25,71,13,0,8,108,37,1,1,25,1,2,51,9,1,2,0.241,0.3,0.366,0.666,0.304,93.5,1.33,1960-07-08,1995
유강남15LC,126,313,279,26,76,11,1,8,113,37,2,1,19,7,0,55,10,7,1,0.272,0.333,0.405,0.738,0.328,91.4,1.33,1992-07-15,2015
홍원기00두3B,113,258,221,31,60,8,2,5,87,30,2,2,25,6,0,54,4,5,1,0.271,0.36,0.394,0.753,0.339,99,1.32,1973-06-05,2000
신경식83O1B,100,421,377,47,101,15,1,5,133,50,10,7,31,7,2,38,2,6,0,0.268,0.335,0.353,0.688,0.32,101.8,1.32,1961-01-19,1983
유고웅86MDH,101,399,349,46,96,11,2,5,126,39,12,7,33,3,1,27,5,9,5,0.275,0.339,0.361,0.7,0.326,108.7,1.32,1958-12-21,1986
권희동21NLF,55,171,133,25,35,3,0,8,62,26,2,0,29,5,1,24,4,1,3,0.263,0.406,0.466,0.872,0.4,136.7,1.32,1990-12-30,2021
최동수09L1B,108,386,338,43,100,16,1,13,157,65,1,0,34,4,3,58,20,3,7,0.296,0.36,0.465,0.825,0.361,107.6,1.32,1971-09-11,2009
이종운93롯RF,123,440,392,45,99,9,7,2,128,42,16,7,29,5,0,51,6,13,1,0.253,0.312,0.327,0.638,0.296,88.9,1.32,1966-04-06,1993
김재현03LRF,50,166,143,13,44,8,0,6,70,21,0,0,17,4,1,25,5,0,2,0.308,0.392,0.49,0.881,0.393,139.7,1.32,1975-10-02,2003
김주찬13KLF,47,195,168,24,51,9,4,0,68,28,23,3,15,4,1,18,4,7,1,0.304,0.372,0.405,0.777,0.352,106.8,1.32,1981-03-25,2013
김진우87청C,58,212,181,20,43,8,0,3,60,16,3,4,26,3,0,26,6,1,1,0.238,0.341,0.331,0.673,0.327,99.2,1.32,1958-09-24,1987
